Source,Benchmark,Data Size,Sequential,Spark Gen,Spark Gen Speedup,Max Speedup,Spark Manual,Spark Manual Speedup,,,,
,Min,25GB,0:09:49,0:00:50,11.78,16.23,0:00:51,11.55,,,,
,,,0:09:44,0:00:48,12.17,,0:00:51,11.45,,,,
,,50GB,0:19:22,0:01:19,14.71,,0:01:18,14.9,,,,
,,,0:19:12,0:01:19,14.58,,0:01:22,14.05,,,,
,,75GB,0:29:43,0:01:51,16.06,,0:01:49,16.36,,,,
,,,0:30:01,0:01:51,16.23,,0:01:49,16.52,,,,
,Max,25GB,0:10:01,0:00:50,12.02,15.88,0:00:50,12.02,,,,
,,,0:10:03,0:00:49,12.31,,0:00:49,12.31,,,,
,,50GB,0:19:17,0:01:20,14.46,,0:01:19,14.65,,,,
,,,0:19:13,0:01:19,14.59,,0:01:20,14.41,,,,
,,75GB,0:30:05,0:01:59,15.17,,0:01:53,15.97,,,,
,,,0:29:55,0:01:53,15.88,,0:01:50,16.32,,,,
,Max Absolute,25GB,0:11:17,0:00:52,13.02,18.08,0:00:49,13.82,,,,
,,,0:11:15,0:00:50,13.5,,0:00:52,12.98,,,,
,,50GB,0:22:33,0:01:19,17.13,,0:01:18,17.35,,,,
,,,0:22:19,0:01:19,16.95,,0:01:20,16.74,,,,
,,75GB,0:32:45,0:01:50,17.86,,0:01:51,17.7,,,,
,,,0:32:51,0:01:49,18.08,,0:01:51,17.76,,,,
,Delta,25GB,0:09:45,0:00:53,11.04,15.82,0:00:50,11.7,,,,
,,,0:09:50,0:00:51,11.57,,0:00:51,11.57,,,,
,,50GB,0:20:21,0:01:30,13.57,,0:01:23,14.71,,,,
,,,0:20:18,0:01:29,13.69,,0:01:22,14.85,,,,
,,75GB,0:32:10,0:02:02,15.82,,0:01:54,16.93,,,,
,,,0:32:14,0:02:03,15.72,,0:01:57,16.53,,,,
Fiji: RedToMagenta,Loop1,25GB,0:26:00,0:02:13,11.73,14.75,0:02:02,12.79,,,,
,,,0:25:48,0:02:04,12.48,,0:02:20,11.06,,,,
,,50GB,0:51:25,0:03:43,13.83,,0:03:40,14.02,,,,
,,,0:51:36,0:03:46,13.7,,0:03:41,14.01,,,,
,,75GB,1:17:25,0:05:15,14.75,,0:05:12,14.89,,,,
,,,1:17:24,0:05:18,14.6,,0:05:11,14.93,,,,
Fiji: Temporal Median,Loop 1,25GB,0:28:34,0:02:01,14.17,16.64,0:02:09,13.29,,,,
,,,0:28:53,0:02:01,14.32,,0:02:09,13.43,,,,
,,50GB,0:57:38,0:03:38,15.51,,0:03:45,15.37,,,,
,,,0:57:59,0:03:44,15.39,,0:03:43,15.6,,,,
,,75GB,1:25:56,0:05:22,16.01,,0:05:16,16.32,,,,
,,,1:26:31,0:05:12,16.64,,0:05:13,16.58,,,,
,Loop 2,25GB,0:14:30,0:00:51,17.06,22.86,0:00:51,17.06,,,,
,,,0:14:34,0:00:51,17.13,,0:00:54,16.18,,,,
,,50GB,0:29:07,0:01:20,21.83,,0:01:22,21.3,,,,
,,,0:29:02,0:01:19,22.05,,0:01:22,21.24,,,,
,,75GB,0:42:40,0:01:52,22.86,,0:01:53,22.66,,,,
,,,0:42:37,0:01:52,22.83,,0:01:50,23.25,,,,
,Loop 3,25GB,0:14:31,0:01:04,13.61,17.36,0:01:04,13.61,,,,
